# WindowPos,energy,entropy,kurtosis,maximum,mean,mean_absolute_deviation,median,minimum,range,RMS,skewness,standard_deviation,uniformity,variance,autocorrelation,cluster_prominence,cluster_shade,cluster_tendency,contrast,correlation,difference_entropy,dissimilarity,energy,entropy,homogeneity1,homogeneity2,IMC1,IMC2,IDMN,IDN,inverse_variance,maximum_probability,sum_average,sum_entropy,sum_variance,variance_GLCM,SRE,LRE,GLN,RLN,RP,LGLRE,HGLRE,SRLGLE,SRHGLE,LRLGLE,LRHGLE,energy_LL,entropy_LL,kurtosis_LL,maximum_LL,mean_LL,mean_absolute_deviation_LL,median_LL,minimum_LL,range_LL,RMS_LL,skewness_LL,standard_deviation_LL,uniformity_LL,variance_LL,autocorrelation_LL,cluster_prominence_LL,cluster_shade_LL,cluster_tendency_LL,contrast_LL,correlation_LL,difference_entropy_LL,dissimilarity_LL,energy_LL,entropy_LL,homogeneity1_LL,homogeneity2_LL,IMC1_LL,IMC2_LL,IDMN_LL,IDN_LL,inverse_variance_LL,maximum_probability_LL,sum_average_LL,sum_entropy_LL,sum_variance_LL,variance_GLCM_LL,SRE_LL,LRE_LL,GLN_LL,RLN_LL,RP_LL,LGLRE_LL,HGLRE_LL,SRLGLE_LL,SRHGLE_LL,LRLGLE_LL,LRHGLE_LL,energy_HL,entropy_HL,kurtosis_HL,maximum_HL,mean_HL,mean_absolute_deviation_HL,median_HL,minimum_HL,range_HL,RMS_HL,skewness_HL,standard_deviation_HL,uniformity_HL,variance_HL,autocorrelation_HL,cluster_prominence_HL,cluster_shade_HL,cluster_tendency_HL,contrast_HL,correlation_HL,difference_entropy_HL,dissimilarity_HL,energy_HL,entropy_HL,homogeneity1_HL,homogeneity2_HL,IMC1_HL,IMC2_HL,IDMN_HL,IDN_HL,inverse_variance_HL,maximum_probability_HL,sum_average_HL,sum_entropy_HL,sum_variance_HL,variance_GLCM_HL,SRE_HL,LRE_HL,GLN_HL,RLN_HL,RP_HL,LGLRE_HL,HGLRE_HL,SRLGLE_HL,SRHGLE_HL,LRLGLE_HL,LRHGLE_HL,energy_LH,entropy_LH,kurtosis_LH,maximum_LH,mean_LH,mean_absolute_deviation_LH,median_LH,minimum_LH,range_LH,RMS_LH,skewness_LH,standard_deviation_LH,uniformity_LH,variance_LH,autocorrelation_LH,cluster_prominence_LH,cluster_shade_LH,cluster_tendency_LH,contrast_LH,correlation_LH,difference_entropy_LH,dissimilarity_LH,energy_LH,entropy_LH,homogeneity1_LH,homogeneity2_LH,IMC1_LH,IMC2_LH,IDMN_LH,IDN_LH,inverse_variance_LH,maximum_probability_LH,sum_average_LH,sum_entropy_LH,sum_variance_LH,variance_GLCM_LH,SRE_LH,LRE_LH,GLN_LH,RLN_LH,RP_LH,LGLRE_LH,HGLRE_LH,SRLGLE_LH,SRHGLE_LH,LRLGLE_LH,LRHGLE_LH,energy_HH,entropy_HH,kurtosis_HH,maximum_HH,mean_HH,mean_absolute_deviation_HH,median_HH,minimum_HH,range_HH,RMS_HH,skewness_HH,standard_deviation_HH,uniformity_HH,variance_HH,autocorrelation_HH,cluster_prominence_HH,cluster_shade_HH,cluster_tendency_HH,contrast_HH,correlation_HH,difference_entropy_HH,dissimilarity_HH,energy_HH,entropy_HH,homogeneity1_HH,homogeneity2_HH,IMC1_HH,IMC2_HH,IDMN_HH,IDN_HH,inverse_variance_HH,maximum_probability_HH,sum_average_HH,sum_entropy_HH,sum_variance_HH,variance_GLCM_HH,SRE_HH,LRE_HH,GLN_HH,RLN_HH,RP_HH,LGLRE_HH,HGLRE_HH,SRLGLE_HH,SRHGLE_HH,LRLGLE_HH,LRHGLE_HH
(250.65;196.35)->(265.39;208.29),4607277.0,122.6682905,13.6400463813,60.0,-63.0654761905,88.7356150794,-24.0,-872.0,932.0,165.602741092,-3.12765061996,153.581948317,318,23587.4148489,1487.59413503,19728186.61,292659.368788,4365.52160962,8.16427322677,0.0229469676003,2.28483834024,1.62414668665,0.0433471165864,5.09376156242,0.570670334803,0.531186457727,0.14538851211,0.0,0.997470698869,0.973263083269,0.105279161605,0.105124042624,76.4917374292,4.08474815848,107.491930375,1090.25366731,0.792768435752,2.741916226,13.5416406806,73.7153651352,0.633928571429,0.00118164132292,1427.46159633,0.000990220478368,1108.3927179,0.00282977119606,4090.86519073,14224126.7397,0.0,10.1061650308,160.218003457,-126.130952381,163.936103592,-77.703827959,-1318.34691164,1478.56491509,290.976667569,-2.55180483073,263.002149974,168,69170.1308908,1378.33949384,25310815.3506,346140.583223,4789.96042587,28.2868173493,0.0565854764654,3.07139964517,3.17621961372,0.0160783584547,6.30130503366,0.436600224568,0.368816812821,0.08319777489,0.0,0.991614159397,0.95053745774,0.0807695874568,0.0520313020313,72.4018273393,4.96570082335,299.431227716,1205.39582544,0.856770961393,1.90904868046,8.10998173433,97.9038772561,0.718112244898,0.0264859723441,1338.81336902,0.0135887109633,1139.41571288,0.151844220727,2533.28550259,957256.967179,0.0,26.1172643821,458.840819553,-9.81225682716e-15,33.6336084697,0.164082362245,-416.010083793,874.850903346,75.4848205798,0.710430246137,75.7104857188,168,5732.07764778,1648.37075425,14837694.92,229398.654,3656.36131406,13.83495671,-0.000634379717497,2.03703990668,1.59831834832,0.0873135009624,4.06879248077,0.581121845349,0.545727587728,0.373636203434,0.0,0.996266045667,0.974698580487,0.105978872318,0.169143356643,81.2146603397,2.81532565506,11.4743918877,920.407005971,0.776757952255,3.04180748047,27.2391059201,73.4654563723,0.630102040816,0.000626501519078,1646.68033829,0.000483313580138,1286.03895921,0.00192314633962,4948.27033243,3049289.30439,0.0,15.4633373674,745.36132134,-6.30183735882e-15,60.7470661632,-0.824603540954,-503.991317179,1249.35263852,134.723908694,1.8895488892,135.126671651,168,18259.2173915,1594.8136655,16981937.9573,251763.687865,3868.37984752,34.3015526141,-0.00120877125889,2.2807382421,2.34821428571,0.0953615218725,4.33724525231,0.602825768178,0.576790712663,0.156622932422,0.0,0.991009687295,0.96576181622,0.11808044595,0.208874458874,79.8906718282,3.23380730364,30.9019209073,956.989827166,0.73899161376,4.07836784201,20.6281573359,61.8588810301,0.573979591837,0.000657130290826,1605.44719187,0.000494110047205,1178.40785611,0.00253046610966,6838.7368237,198434.988718,0.0,32.6053999431,227.650631555,-7.61295788314e-16,13.4696687309,-0.630057898836,-235.038101894,462.68873345,34.3680177946,0.142748803492,34.4707624716,168,1188.23346538,1638.89271146,6727626.44337,121487.771492,2340.01753696,3.65349234099,-0.000378964990497,1.50620966675,0.872481684982,0.192538816633,2.78673492116,0.691259845925,0.680281202735,0.398588439471,0.0,0.998890405247,0.985403926407,0.107826085847,0.253246753247,80.9722985348,1.95321933786,2.71055299422,569.883916692,0.652432480081,4.03599456099,37.2865967366,43.7144716395,0.520408163265,0.00061169650046,1644.66911422,0.000399335869402,1074.27042211,0.00247195356876,6612.94748446
(266.09;163.35)->(279.43;178.80),4650486.0,81.2842125151,3.19671675916,473.0,109.333333333,101.527777778,63.5,-78.0,551.0,166.377475296,1.04812355562,125.784992235,258,15821.8642715,2043.57482101,51741706.2299,589382.373869,6871.13512357,7.78436147186,0.0121556620962,2.44782029842,1.90757159507,0.0255567429019,5.75967101198,0.507270523038,0.451296750307,0.117187545657,0.0,0.997547126597,0.968194412324,0.110310696248,0.0686188811189,89.9483641359,4.68877321091,91.3599688326,1732.37180005,0.823281120698,2.43671576923,11.2912308287,92.0203062747,0.686224489796,0.000502214521623,2075.42554444,0.00040961614883,1721.35496945,0.00125493349604,4937.86080218,17617386.0435,0.0,3.03104034987,863.770805108,218.666666667,196.690318031,125.947109109,-174.462305905,1038.23311101,323.829265379,1.01341959727,239.566067004,168,57391.9004599,2283.25395438,48975341.4708,580398.542225,6919.47285129,10.4570845821,0.0193558917736,2.70665913925,2.10181485181,0.0563024707006,5.53620963804,0.529695655613,0.469167061072,0.11459919007,0.0,0.996725002828,0.965442931514,0.0906973617369,0.212745587746,94.8633033633,4.52870047344,144.412970618,1729.57116105,0.812854016521,3.52944333808,9.71950496699,76.6351586991,0.61862244898,0.000493215877051,2133.28681992,0.000414241633679,1661.06569658,0.00140202711154,9455.54441255,651226.858929,0.0,5.07167196347,207.406953522,1.75943915522e-14,43.5694265015,7.83249949051,-193.616532548,401.02348607,62.2603433236,-0.372728700365,62.4464733153,168,3899.56202952,1644.63528139,23032611.8935,328720.765942,4729.18461943,7.47598235098,0.00207080323892,2.39667304626,1.82455044955,0.0365992267528,5.30698743579,0.513744279063,0.459517620001,0.313668804279,0.0,0.997652232541,0.969570371538,0.116206709957,0.0850815850816,81.0474109224,3.81526230213,17.332351333,1200.21057339,0.815299897605,2.57346874991,18.8299076116,88.716361452,0.674744897959,0.000624147131436,1629.9138304,0.000512338351802,1322.65087113,0.00157435236806,4248.16507387,299876.023445,0.0,8.98580966393,183.472806463,1.64947420801e-14,25.6185081515,1.20733593856,-196.448865029,379.921671492,42.2489802248,0.0594879813835,42.3752853802,168,1795.66481105,1637.14818515,13608905.4299,214597.969412,3489.10545132,5.49666999667,-8.23542257879e-05,2.01459887648,1.30236430236,0.102360939649,3.96810063852,0.615325918774,0.586238249953,0.332033405233,0.0,0.998287080936,0.9782941948,0.124694752585,0.193577256077,80.9244089244,2.80669850339,5.32653262211,874.429555155,0.739450974936,3.4383495837,25.8025183133,63.2960646701,0.600765306122,0.000615108275293,1642.86710188,0.000456117189873,1213.29768521,0.00209618456245,5677.59883249,33455.0741555,0.0,9.32440905237,63.303107928,-9.51619735393e-17,9.19968997211,-0.0908558806274,-61.4175144109,124.720622339,14.1116032457,0.0964678682559,14.1537904945,168,200.329785363,1639.34819347,4264794.03631,89356.0197417,1949.42021922,0.834207459207,-6.09506347039e-05,1.2653296624,0.618631368631,0.217674741869,2.43425936498,0.716522019647,0.710294663858,0.494752453416,0.0,0.999734447908,0.98921041244,0.119766414141,0.248022810523,80.9784798535,1.73089820267,0.712719383236,486.021960294,0.630217088952,4.27210222573,41.8939064967,40.8370663834,0.503826530612,0.000610702196124,1639.67931486,0.00038513118631,1032.92821414,0.00260210051278,7021.08422312
(319.46;166.86)->(337.71;199.87),65196668.0,456.37214344,4.02514103976,700.0,23.6770833333,241.286313657,111.0,-867.0,1567.0,336.435223665,-1.19505787119,335.89273634,1188,112823.930326,1855.02676642,51276172.6146,573883.885146,6560.412161,10.426618833,0.0931107797903,2.6908478065,2.07985122813,0.0139440963698,7.03334090807,0.513519060745,0.457986361069,0.0774647519539,0.0,0.996740786985,0.965810393212,0.115315002639,0.0527504348514,82.5195617225,5.69512180073,620.958464925,1666.90966444,0.794599545818,6.97930741649,26.7434721057,250.86705407,0.415283203125,0.00137075953426,1956.30355746,0.00111294981106,1520.45244141,0.0155273626243,14425.2906431,239903279.02,0.0,4.12009231939,1266.95754773,47.3541666667,467.736629942,223.106743432,-1867.75993607,3134.7174838,645.367142252,-1.20794148796,644.186911533,576,414976.776991,2061.86028423,52687792.3272,583107.615675,6531.67954424,24.1138964658,0.187802679395,2.92414503908,2.63220304923,0.0519861509252,6.23616794861,0.570259208539,0.520722438879,0.0642372205196,0.0,0.992829251395,0.959208975944,0.0641410205061,0.192324544065,83.7689539189,5.11041338198,1254.09122867,1658.563526,0.797315329388,12.2408131188,24.0383732013,224.215174408,0.36572265625,0.0201403408151,2209.66681069,0.0033237920151,1706.07605014,2.71205479021,26243.9820045,16957075.9958,0.0,14.2649741965,835.018061704,3.15796771449e-15,76.9015010817,1.91466484094,-923.904061051,1758.92212275,171.57904315,-0.233102082895,171.728177505,576,29490.5669492,1645.68984227,24906661.7131,340879.11836,4777.7644178,51.1470357632,0.000598655856165,2.59922750653,2.76067362429,0.0432268376596,5.55296250513,0.540176012838,0.496203362227,0.312971333815,0.0,0.988636798838,0.960883660571,0.112486723856,0.108414703247,81.1181313251,3.94073989101,53.5835650736,1219.83513456,0.785059184133,9.69986873976,59.3262290342,250.758121526,0.407470703125,0.000808927232589,1626.40897694,0.000660775852836,1274.21550586,0.00854798661073,16956.0330202,3685063.40686,0.0,15.8115197217,406.3131567,3.73775084957e-15,40.2179985373,3.26079268259,-464.660111701,870.973268401,79.9854957214,-0.69864419826,80.0550181124,576,6408.80592497,1642.83143745,17815275.8192,262729.33899,3994.13271967,17.4698354812,0.000231505449049,2.38133519721,1.85458010489,0.0751340560619,4.85706144597,0.591301421299,0.554820478408,0.345785825038,0.0,0.995176915084,0.971061538076,0.102232876307,0.178649786528,81.0567826929,3.39624094302,18.5921710969,1008.52808339,0.750830485022,7.63622057181,65.1389255423,208.901022427,0.381591796875,0.00063177526567,1641.67869163,0.000476592090126,1229.7360405,0.00544063530512,12446.8433502,241253.577731,0.0,33.0885673932,158.26106607,-4.31753398465e-17,10.8010686651,0.352320874233,-187.505406654,345.766472724,20.4656545679,-0.363040598456,20.4834430585,576,419.571439532,1640.51475365,5741376.04457,109832.103067,2212.95238724,1.43005646479,-6.26187618094e-05,1.42138317236,0.698178565781,0.193340079793,2.81626994422,0.708498253089,0.698913213865,0.501034289927,0.0,0.999549987197,0.987954350945,0.120574033167,0.234345351044,81.0074105919,1.9712724507,1.28847709954,551.289892209,0.629749975172,9.79884537985,132.803076556,133.84983821,0.326416015625,0.000611143590024,1640.31761809,0.00038530385882,1032.3867058,0.00601710989221,16070.3463982
